subject,retailer,event,season,discount_pc,discount_money,up_to,sale,free_delivery,name,emoji
Final SALE reductions: up to 70% off & new lines added...,asos,,,70%,,up to,sale,,,
SALE continues: up to 50% off + what's new now - fresh styles to update your wardrobe...,asos,,,50%,,up to,sale,,,
Bored of the festivities? Get an EXTRA 10% off the ASOS Sale + last minute gift saviours...,asos,,,10%,,,sale,,,
It's here: SALE - save up to 50% on essential style updates...,asos,,,50%,,up to,sale,,,
Footwear sale: Up to 50% off plus free next day delivery...,asos,,,50%,,up to,sale,,,
Flash Sale 12-2pm: 50% off your going out look + free next day delivery...,asos,,,50%,,,sale,,,
Free Next Day Delivery + 20% off ASOS brand - Christmas shopping the easy way...,asos,Christmas,,20%,,,,,,
Flash Sale 12-2pm: 40% off your going out look + free next day delivery...,asos,,,40%,,,sale,,,
FLASH SALE: 40% off leather jackets today only + free next day delivery...,asos,,,40%,,,sale,,,
20% off brands & free next day delivery + warm up fast in winter's three best coats...,asos,,Winter,20%,,,,,,
An early Christmas gift: 20% off brands - the names you know for less + new daily deals...,asos,Christmas,,20%,,,,,,
Quick: 20% off ASOS brand ends 10pm - your Christmas wardrobe for less...,asos,Christmas,,20%,,,,,,
Payday bonus: FREE next day delivery + final days for 20% off ASOS brand...,asos,,,20%,,,,,,
Your shopping sorted now: FREE next day delivery & 20% off ASOS brand...,asos,,,20%,,,,,,
20% off ASOS brand + G-Star & Diesel's A/W '10 ranges...,asos,,,20%,,,,,,
Deal of the day: The essential £40 winter boot + new in: shop the latest styles first...,asos,,Winter,,£40,,,,,
Winter wrapped up: 20% off big brand jeans + the heritage look from Farah Vintage...,asos,,Winter,20%,,,,,,
"20% off jeans. Shop the brands you want for less: Diesel, Levi's, Edwin & more...",asos,,,20%,,,,,,
Join the khaki army: jackets & watches for winter + AllSaints rocks into winter...,asos,,Winter,,,,,,,
"Sign up to ASOS Premier for free delivery, exclusive previews and more...",asos,,,,,up to,,free delivery,,
Trend alert: new military looks for winter + 20% off shoes & win a Diesel wardrobe...,asos,,Winter,20%,,,,,,
"Shop anywhere, anytime on our new mobile site! Plus Free Next Day delivery today only...",asos,,,,,,,,,
Diesel's got winter wrapped up! Plus shopping Smart & 20% off jackets...,asos,,Winter,20%,,,,,,
"New Best of British: Paul Smith, Fred Perry & more! Plus 20% off knits...",asos,,,20%,,,,,,
SALE Further Reductions! Now up to 70% off...,asos,,,70%,,up to,sale,,,
"Mid Season SALE now on! Up to 50% off Diesel, AllSaints & more...",asos,,,50%,,up to,sale,,,
FREE Next Day Delivery until 6pm today! Click quick...,asos,,,,,,,,,
The next big thing: American heritage plus definitive denim from £30...,asos,,,,£30,,,,,
Style from A-Z: shop over 400 of the biggest & best brands...,asos,,,,,,,,,
Introducing: ASOS Black - our dark new range + 20% off tees & shoes...,asos,,,20%,,,,,,
"Quick - Free Next Day Delivery! Plus 20% off shirts, knits & Outlet ends tonight!",asos,,,20%,,,,,,
"20% off Shirts & Knits! Plus the new shapes, new brands, new looks...",asos,,,20%,,,,,,
Quick! FREE Next Day Delivery & 15% off Jeans - your weekend wardrobe sorted...,asos,,,15%,,,,,,
Diesel - the denim giant's latest range + win a trip to Ibiza's closing parties!,asos,,,,,,,,,
Style made simple - the latest looks and brands your wardrobe needs...,asos,,,,,,,,,
Quick! 15% off ASOS end tonight! Plus Barbour - just arrived...,asos,,,15%,,,,,,
15% off to kick-start your autumn wardrobe!,asos,,Autumn,15%,,,,,,
"3 of the best Tribeca trend, plus AllSaints and weekend holdalls...",asos,,,,,,,,,
Summer clearance: last few days and final markdowns!,asos,,Summer,,,,,,,
The best of Paul Smith's A/W collection plus the new word in knitwear...,asos,,,,,,,,,
20% off Chinos! Plus Smart - the clever way to dress this autumn...,asos,,Autumn,20%,,,,,,
SALE: Final Reductions! Plus an extra 10% off until 6pm tonight!,asos,,,10%,,,sale,,,
It’s delivered and we hope you love it!,asos,,,,,,,,,
Three Decades One Passion,ariat europe,,,,,,,,,
Winter Ready Outerwear,ariat europe,,Winter,,,,,,,
Brave the Cold,ariat europe,,,,,,,,,
Country Boots You Can Rely On,ariat europe,,,,,,,,,
Meet our Western Favourites,ariat europe,,,,,,,,,
Boxing Day Deals | Ariat Outlet,ariat europe,Boxing Day,,,,,,,,
Essential Footwear for Festive Walks,ariat europe,,,,,,,,,
Happy New Year | Start 2022 Off Right,ariat europe,,,,,,,,,
Outerwear Favourites with Five Star Reviews,ariat europe,,,,,,,,,
Expertly Designed Legwear,ariat europe,,,,,,,,,
Make the Most of the Great Outdoors,ariat europe,,,,,,,,,
Built to Last | Ariat Workwear,ariat europe,,,,,,,,,
It's Back | Our Best Selling Palisade Tall Boot,ariat europe,,,,,,,,,
Waterproof & Insulated Riding Boot Favourites,ariat europe,,,,,,,,,
Ride in Any Weather | Endurance Footwear,ariat europe,,,,,,,,,
Your Country Fashion Favourites,ariat europe,,,,,,,,,
"Team Favourites in Navy, Red & White",ariat europe,,,,,,,,,
Share the Love this Valentine's Day,ariat europe,Valentine's,,,,,,,,
Exclusive Sneak Peak | New Footwear Arrivals,ariat europe,,,,,,,,,
It's Back | Our Best-Selling Coastal Jacket,ariat europe,,,,,,,,,
Cosy Casual Wardrobe Staples,ariat europe,,,,,,,,,
New Arrivals | Spring Clothing,ariat europe,,Spring,,,,,,,
Just Landed | New Jackets for Spring,ariat europe,,Spring,,,,,,,
New Season Sweatshirts & Hoodies,ariat europe,,,,,,,,,
Just Landed | New Ascent Training Collection,ariat europe,,,,,,,,,
Get Festival Ready | Western New Arrivals,ariat europe,,,,,,,,,
Bestselling Favourites Back in Stock,ariat europe,,,,,,,,,
New Arrivals | Ariat Legwear Collection,ariat europe,,,,,,,,,
Designed to Last | Ariat Workwear,ariat europe,,,,,,,,,
Train at your Best with Ariat Technical Tights,ariat europe,,,,,,,,,
Discover New for Spring Rubber Footwear,ariat europe,,Spring,,,,,,,
New Spring Jackets | Lightweight and Waterproof,ariat europe,,Spring,,,,,,,
New Spring Polos & Tees You Will Love,ariat europe,,Spring,,,,,,,
Spring Country Favourites,ariat europe,,Spring,,,,,,,
Discover the Best-selling Wexford Collection,ariat europe,,,,,,,,,
Show Your Ariat Team Spirit,ariat europe,,,,,,,,,
Happy Earth Day,ariat europe,,,,,,,,,
Step Into Spring | New Casual Footwear,ariat europe,,Spring,,,,,,,
New Additions to our Palisade Collection,ariat europe,,,,,,,,,
Authentic Western for Spring,ariat europe,,Spring,,,,,,,
Discover Your New Perfect Denim,ariat europe,,,,,,,,,
New Season Equestrian Favourites,ariat europe,,,,,,,,,
The Science of Cool with Ariat VentTEK™,ariat europe,,,,,,,,,emoji
Ariat for the Whole Family | Kids Clothing Collection,ariat europe,,,,,,,,,
Add some Western Flair to Your Wardrobe,ariat europe,,,,,,,,,
New Season Rebar Work Collection,ariat europe,,,,,,,,,
Rainy Days Have Met Their Match!,ariat europe,,,,,,,,,
New Terrains | Your Favourite Boots in New Styles,ariat europe,,,,,,,,,
Transform your Training with the Ascent Collection,ariat europe,,,,,,,,,
Casual Footwear Favourites for Summer,ariat europe,,Summer,,,,,,,
Essential Legwear for Every Rider,ariat europe,,,,,,,,,
Just Landed - New Summer Outlet Deals,ariat europe,,Summer,,,,,,,
Save up to 70% | Ariat Summer Outlet,ariat europe,,Summer,70%,,up to,,,,
"Our Signature Colours | Red, White and Blue",ariat europe,,,,,,,,,
Technical Base Layers for Summer,ariat europe,,Summer,,,,,,,
Your Favourite Summer T-Shirts,ariat europe,,Summer,,,,,,,
Festival Season is Here 🤠🎡,ariat europe,,,,,,,,,emoji
Keep Your Cool | Summer Essentials,ariat europe,,Summer,,,,,,,
The Perfect Summer Top to Keep You Cool ☀️,ariat europe,,Summer,,,,,,,emoji
Best in Class Riding Footwear,ariat europe,,,,,,,,,
Men's Collection | Summer Favourites,ariat europe,,Summer,,,,,,,
Discover Authentic Western Style,ariat europe,,,,,,,,,
Find Your Perfect Paddock,ariat europe,,,,,,,,,
Perform at Your Best | Ariat Show Collection,ariat europe,,,,,,,,,
Summer Riding Legwear Essentials,ariat europe,,Summer,,,,,,,
Beat the Heat | Summer Baselayers,ariat europe,,Summer,,,,,,,
Summer Staples | Ariat Boat Shoes,ariat europe,,Summer,,,,,,,
Festival Fashion Favourites 🤠🎡,ariat europe,,,,,,,,,emoji
Reactivate Your Account,berry bros. & rudd,,,,,,,,,
Christmas has arrived at Berry Bros. & Rudd,berry bros. & rudd,Christmas,,,,,,,,
"Hosting a small, perfectly formed Christmas",berry bros. & rudd,Christmas,,,,,,,,
Grand Marque Champagne for Christmas,berry bros. & rudd,Christmas,,,,,,,,
Find something special in our gift range,berry bros. & rudd,,,,,,,,,
It’s Just Friday,berry bros. & rudd,,,,,,,,,
Extraordinary old-vine Garnacha,berry bros. & rudd,,,,,,,,,
Mix and match,berry bros. & rudd,,,,,,,,,
Explore our top Christmas gifts,berry bros. & rudd,Christmas,,,,,,,,
Our last order date for Christmas delivery,berry bros. & rudd,Christmas,,,,,,,,
Our Own Selection bottles for winter,berry bros. & rudd,,Winter,,,,,,,
"Hampers, fine wines and gifts for Christmas",berry bros. & rudd,Christmas,,,,,,,,
Claret to drink now | 1989 Haut-Brion | 2010 Potensac,berry bros. & rudd,,,,,,,,,
Grande Marque Champagne | Louis Roederer | Dom Pérignon,berry bros. & rudd,,,,,,,,,
St Julien to enjoy this Christmas,berry bros. & rudd,Christmas,,,,,,,,
Own Selection Champagne: the jewel in our crown,berry bros. & rudd,,,,,,,,,
Burgundy to drink this Christmas,berry bros. & rudd,Christmas,,,,,,,,
Claret for Christmas: 2009 Les Fiefs de Lagrange,berry bros. & rudd,Christmas,,,,,,,,
Chosen for Christmas: our Own Selection wines,berry bros. & rudd,Christmas,,,,,,,,
The perfect Port for Christmas,berry bros. & rudd,Christmas,,,,,,,,
Restock your wine rack with our mixed cases,berry bros. & rudd,,,,,,,,,
What to drink on Christmas Day,berry bros. & rudd,Christmas,,,,,,,,
How to serve magnums | Pol Roger Champagne offer,berry bros. & rudd,,,,,,,,,
Last order date for guaranteed Christmas delivery,berry bros. & rudd,Christmas,,,,,,,,
Wishing you a very merry Christmas,berry bros. & rudd,Christmas,,,,,,,,
Sparkling wine for New Year's Eve,berry bros. & rudd,New Year's Eve,,,,,,,,
Four fine wines for drinking now,berry bros. & rudd,,,,,,,,,
Hidden-gem Claret,berry bros. & rudd,,,,,,,,,
Discover lesser-known bottles in our sale,berry bros. & rudd,,,,,,sale,,,
We'd love to hear your views on how we're doing,berry bros. & rudd,,,,,,,,,
In our sale: 2019 Valpolicella from Marion,berry bros. & rudd,,,,,,sale,,,
We’re sorry | bbr.com technical problems,berry bros. & rudd,,,,,,,,,
Our new Margaux from Ch. Angludet,berry bros. & rudd,,,,,,,,,
Discover Burgundy’s “other” appellations,berry bros. & rudd,,,,,,,,,
Our New Year Sale ends soon,berry bros. & rudd,,,,,,sale,,,
"Burgundy 2020: Grivot, Naudin-Ferrand, Camille Giroud and more",berry bros. & rudd,,,,,,,,,
Own Selection Spotlights: 2016 Barolo,berry bros. & rudd,,,,,,,,,
Own Selection Spotlights: XO Armagnac,berry bros. & rudd,,,,,,,,,
Meet the rising stars of wine and spirits,berry bros. & rudd,,,,,,,,,
Burgundy 2020: the critics’ favourites,berry bros. & rudd,,,,,,,,,
Own Selection Spotlights: 2018 St Julien,berry bros. & rudd,,,,,,,,,
Vega Sicilia releases | Château Rieussec | The Chocolate Block,berry bros. & rudd,,,,,,,,,
Own Selection Spotlights: 2018 Sonoma County Chardonnay,berry bros. & rudd,,,,,,,,,
2017 Clos Manou: poised and elegant,berry bros. & rudd,,,,,,,,,
A handful of our Buyers’ favourites from Burgundy 2020,berry bros. & rudd,,,,,,,,,
The new vintages of Alión and Pintia are here,berry bros. & rudd,,,,,,,,,
2018 Frog’s Leap: powerful but elegant Cabernet,berry bros. & rudd,,,,,,,,,
2021 Own Selection Sauvignon Blanc,berry bros. & rudd,,,,,,,,,
What to drink in 2022: our experts’ advice,berry bros. & rudd,,,,,,,,,
What to drink in 2022 | Own Selection Spotlights,berry bros. & rudd,,,,,,,,,
Explore our selection of last chance bottles,berry bros. & rudd,,,,,,,,,
Brunello di Montalcino 2017: Lisini,berry bros. & rudd,,,,,,,,,
The latest vintages from Montalcino | Burgundy to drink in 2022,berry bros. & rudd,,,,,,,,,
"Deep, velvety Brunello: 2017 La Serena",berry bros. & rudd,,,,,,,,,
Buyers’ highlights: Savigny-lès-Beaune from Domaine Guyon,berry bros. & rudd,,,,,,,,,
Buyers' highlights: lively Burgundy | Tastings in our shops,berry bros. & rudd,,,,,,,,,
Mature Claret from Moulis-en-Médoc,berry bros. & rudd,,,,,,,,,
Buyers’ highlights: 2014 Domaine de la Janasse,berry bros. & rudd,,,,,,,,,
Buyers’ highlights: Champagne Fleury,berry bros. & rudd,,,,,,,,,
Start your cellar with 2016 Château Batailley,berry bros. & rudd,,,,,,,,,
"New arrivals: Bordeaux, Barolo and more",berry bros. & rudd,,,,,,,,,
The latest episode of our podcast | A day in Gigondas,berry bros. & rudd,,,,,,,,,
Upcoming events at Berry Bros. & Rudd,berry bros. & rudd,,,,,,,,,
Own Selection Showcase: our mixed case for March,berry bros. & rudd,,,,,,,,,
Back in stock: Own Selection Sancerre | Join our Barolo 2018 webinar,berry bros. & rudd,,,,,,,,,
Barolo 2018: the latest release from a rising region,berry bros. & rudd,,,,,,,,,
Best of BBX: Champagne,berry bros. & rudd,,,,,,,,,
Discover Louis Roederer’s flagship blend,berry bros. & rudd,,,,,,,,,
The latest vintage of Miraval rosé,berry bros. & rudd,,,,,,,,,
Barolo 2018: Massolino,berry bros. & rudd,,,,,,,,,
Good Ordinary Claret for the Queen’s Platinum Jubilee ,berry bros. & rudd,Platinum Jubilee,,,,,,,,
2016 Clos La Gaffelière: drinking beautifully now,berry bros. & rudd,,,,,,,,,
Bordeaux 2021: setting the scene | Good Ordinary Claret: meet the artist,berry bros. & rudd,,,,,,,,,
2018 Grattamacco Superiore: classic and elegant,berry bros. & rudd,,,,,,,,,
Introducing our cork recycling scheme,berry bros. & rudd,,,,,,,,,
Bordeaux 2021 latest releases | Premier Cru Burgundy to drink now,berry bros. & rudd,,,,,,,,,
Summer events at Berry Bros. & Rudd,berry bros. & rudd,,Summer,,,,,,,
Compile your perfect mixed case,berry bros. & rudd,,,,,,,,,
Timeless and elegant: our Own Selection Champagne,berry bros. & rudd,,,,,,,,,
"Fine wine to drink now | Port, Chablis, Bordeaux and more",berry bros. & rudd,,,,,,,,,
Best of BBX: the Rhône Valley,berry bros. & rudd,,,,,,,,,
